room_id,room_name,floor,room_type,capacity
R01,Lab_Room_1,0,LAB,120
R02,Lab_Room_2,1,LAB,120
R03,Lab_Room_3,2,LAB,120
R04,Lab_Room_4,3,LAB,120
R05,Lab_Room_5,4,LAB,120
R06,Lab_Room_6,5,LAB,120
R07,Room_G01,0,CLASSROOM,60
R08,Room_G02,0,CLASSROOM,60
R09,Room_G03,0,CLASSROOM,60
R10,Room_G04,1,CLASSROOM,60
R11,Room_G05,1,CLASSROOM,60
R12,Room_G06,1,CLASSROOM,60
R13,Room_G07,2,CLASSROOM,60
R14,Room_G08,2,CLASSROOM,60
R15,Room_G09,2,CLASSROOM,60
R16,Room_G10,3,CLASSROOM,60
R17,Room_G11,3,CLASSROOM,60
R18,Room_G12,3,CLASSROOM,60
