faculty_id,course_code,sections_handled
F04,UE24CS551A,"A,B"
F05,UE24CS551A,"C,D"
F06,UE24CS551A,"E,F"
F07,UE24CS551A,"G,H"
F08,UE24CS551A,"I,J"
F09,UE24CS551A,"K,L"
F10,UE24CS552A,"A,B"
F11,UE24CS552A,"C,D"
F12,UE24CS552A,"E,F"
F13,UE24CS552A,"G,H"
F14,UE24CS552A,"I,J"
F15,UE24CS552A,"K,L"
F01,UE24CS542A,"A,B,C"
F02,UE24CS542A,"D,E,F"
F16,UE24CS542A,"G,H,I"
F17,UE24CS542A,"J,K,L"
F03,UE24CS561A,"A,B,C"
F18,UE24CS562A,"D,E"
F19,UE24CS563A,"F,G"
F20,UE24CS564A,"H,I"
F21,UE24CS565A,"J,K"
F22,UE24CS566A,L
F23,UE24CS571A,"A,D"
F24,UE24CS572A,"B,E"
F25,UE24CS573A,"C,F"
F26,UE24CS574A,"G,J"
F27,UE24CS575A,"H,K"
F18,UE24CS576A,"I,L"
