Section,Day,Period,Course,Faculty,Room
A,Monday,P1,DSA,F10,G06
B,Monday,P1,MATH,F01,G07
C,Monday,P1,DDCO,F05,G08
D,Monday,P1,AFLL,F17,G09
E,Monday,P1,DDCO,F06,101
F,Monday,P1,AFLL,F18,102
G,Monday,P1,MATH,F16,103
H,Monday,P1,DDCO,F07,201
I,Monday,P1,AFLL,F12,202
J,Monday,P1,DSA,F14,302
K,Monday,P1,DDCO,F09,301
L,Monday,P1,WT,F20,104
A,Monday,P2,AFLL,F04,G06
B,Monday,P2,DSA,F10,G07
C,Monday,P2,MATH,F01,G08
D,Monday,P2,DDCO,F05,G09
E,Monday,P2,MATH,F02,101
F,Monday,P2,DDCO,F06,102
G,Monday,P2,DDCO,F07,103
H,Monday,P2,MATH,F16,201
I,Monday,P2,DSA,F14,202
J,Monday,P2,AFLL,F12,302
K,Monday,P2,WT,F20,301
L,Monday,P2,DDCO,F09,104
A,Monday,P3,MATH,F01,G06
B,Monday,P3,DDCO,F04,G07
C,Monday,P3,DSA,F11,G08
D,Monday,P3,WT,F18,G09
E,Monday,P3,DSA,F12,101
F,Monday,P3,MATH,F02,102
G,Monday,P3,AFLL,F10,103
H,Monday,P3,DSA,F13,201
I,Monday,P3,MATH,F16,202
J,Monday,P3,DDCO,F08,302
K,Monday,P3,MATH,F17,301
L,Monday,P3,DSA,F15,104
A,Monday,P4,DDCO,F04,G06
B,Monday,P4,AFLL,F16,G07
C,Monday,P4,AFLL,F06,G08
D,Monday,P4,DSA,F11,G09
E,Monday,P4,WT,F18,101
F,Monday,P4,DSA,F12,102
G,Monday,P4,DSA,F13,103
H,Monday,P4,AFLL,F19,201
I,Monday,P4,DDCO,F08,202
J,Monday,P4,WT,F20,302
K,Monday,P4,DSA,F15,301
L,Monday,P4,MATH,F17,104
A,Tuesday,P1,DSA,F10,G06
B,Tuesday,P1,DDCO,F04,G07
C,Tuesday,P1,AFLL,F06,G08
D,Tuesday,P1,WT,F18,G09
E,Tuesday,P1,AFLL,F08,101
F,Tuesday,P1,MATH,F02,102
G,Tuesday,P1,DSA,F13,103
H,Tuesday,P1,AFLL,F19,201
I,Tuesday,P1,DSA,F14,202
J,Tuesday,P1,AFLL,F12,302
K,Tuesday,P1,MATH,F17,301
L,Tuesday,P1,DSA,F15,104
A,Tuesday,P2,DDCO,F04,G06
B,Tuesday,P2,DSA,F10,G07
C,Tuesday,P2,WT,F03,G08
D,Tuesday,P2,DSA,F11,G09
E,Tuesday,P2,MATH,F02,101
F,Tuesday,P2,WT,F18,102
G,Tuesday,P2,WT,F19,103
H,Tuesday,P2,DSA,F13,201
I,Tuesday,P2,AFLL,F12,202
J,Tuesday,P2,DSA,F14,302
K,Tuesday,P2,DSA,F15,301
L,Tuesday,P2,MATH,F17,104
A,Tuesday,P3,WT,F03,G06
B,Tuesday,P3,AFLL,F16,G07
C,Tuesday,P3,DSA,F11,G08
D,Tuesday,P3,MATH,F02,G09
E,Tuesday,P3,WT,F18,101
F,Tuesday,P3,DDCO,F06,102
G,Tuesday,P3,DDCO,F07,103
H,Tuesday,P3,WT,F19,201
I,Tuesday,P3,DDCO,F08,202
J,Tuesday,P3,MATH,F17,302
K,Tuesday,P3,AFLL,F14,301
L,Tuesday,P3,DDCO,F09,104
A,Tuesday,P4,AFLL,F04,G06
B,Tuesday,P4,WT,F03,G07
C,Tuesday,P4,MATH,F01,G08
D,Tuesday,P4,AFLL,F17,G09
E,Tuesday,P4,DDCO,F06,101
F,Tuesday,P4,AFLL,F18,102
G,Tuesday,P4,AFLL,F10,103
H,Tuesday,P4,DDCO,F07,201
I,Tuesday,P4,WT,F19,202
J,Tuesday,P4,DDCO,F08,302
K,Tuesday,P4,DDCO,F09,301
L,Tuesday,P4,AFLL,F14,104
A,Wednesday,P1,WT,F03,G06
B,Wednesday,P1,DDCO,F04,G07
C,Wednesday,P1,DDCO,F05,G08
D,Wednesday,P1,DSA,F11,G09
E,Wednesday,P1,DDCO,F06,101
F,Wednesday,P1,DSA,F12,102
G,Wednesday,P1,DSA,F13,103
